                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.76184,                0.48531,                 1.0477,                0.86391,                0.90377,                0.93575,                0.74341,                0.75119,                0.48132,                 1.0129,               0.001509,               0.001509,               0.001509
                     65,                0.74467,                0.46829,                 1.0386,                0.88308,                0.92423,                0.94818,                0.75797,                0.74376,                0.45528,                  1.015,               0.001501,               0.001501,               0.001501
                     66,                0.74864,                0.47153,                 1.0499,                0.89344,                0.89527,                 0.9287,                0.73378,                0.78218,                0.48123,                 1.0459,              0.0014931,              0.0014931,              0.0014931
                     67,                0.75439,                0.48862,                 1.0471,                 0.8787,                 0.9116,                0.94127,                0.75462,                0.76124,                0.46779,                 1.0248,              0.0014852,              0.0014852,              0.0014852
                     68,                0.74545,                0.48426,                 1.0374,                0.90094,                0.89667,                0.95152,                0.75458,                0.75219,                0.44404,                 1.0186,              0.0014773,              0.0014773,              0.0014773
                     69,                0.74414,                0.48117,                 1.0383,                0.88474,                0.90815,                0.94524,                0.76073,                0.73012,                0.44733,                 1.0011,              0.0014694,              0.0014694,              0.0014694
                     70,                0.73977,                0.47033,                 1.0406,                0.87608,                0.90905,                0.93994,                0.74914,                0.74509,                0.46607,                 1.0239,              0.0014614,              0.0014614,              0.0014614
                     71,                0.73796,                0.47135,                 1.0389,                0.88876,                0.88979,                0.93561,                0.75215,                0.74467,                0.46184,                 1.0118,              0.0014535,              0.0014535,              0.0014535
                     72,                0.73623,                0.47565,                 1.0313,                0.89245,                0.91463,                0.94605,                0.75994,                0.74238,                0.45708,                 1.0117,              0.0014456,              0.0014456,              0.0014456
                     73,                0.72197,                 0.4607,                 1.0241,                0.90809,                0.90743,                0.95349,                0.76785,                0.73603,                0.42356,                 1.0099,              0.0014377,              0.0014377,              0.0014377
                     74,                0.72959,                 0.4708,                  1.027,                0.86019,                0.91504,                0.94227,                 0.7629,                0.72927,                0.44403,                 1.0018,              0.0014298,              0.0014298,              0.0014298
                     75,                0.74303,                0.47853,                 1.0436,                0.92324,                0.89753,                0.95276,                0.76486,                0.74696,                0.43841,                 1.0127,              0.0014218,              0.0014218,              0.0014218
                     76,                0.73142,                0.45951,                   1.03,                0.90955,                 0.9093,                0.95676,                0.77287,                0.72589,                0.42703,                 1.0026,              0.0014139,              0.0014139,              0.0014139
                     77,                 0.7449,                0.47023,                 1.0326,                0.91498,                0.92767,                0.95999,                0.76977,                0.73083,                0.41891,                 1.0065,               0.001406,               0.001406,               0.001406
                     78,                0.72046,                0.44859,                 1.0329,                0.90181,                0.92078,                0.95957,                0.77602,                0.72555,                0.41919,                0.99997,              0.0013981,              0.0013981,              0.0013981
                     79,                0.71422,                0.44857,                   1.03,                 0.8789,                0.92308,                0.94222,                0.76443,                0.74065,                0.44887,                  1.012,              0.0013902,              0.0013902,              0.0013902
                     80,                0.71579,                0.45207,                 1.0291,                0.89948,                0.92458,                0.95398,                 0.7701,                0.74128,                0.43111,                 1.0107,              0.0013822,              0.0013822,              0.0013822
                     81,                0.73186,                0.45565,                  1.032,                0.92343,                0.90356,                0.94524,                0.75156,                0.74416,                0.45221,                 1.0138,              0.0013743,              0.0013743,              0.0013743
                     82,                0.71917,                0.44882,                 1.0254,                0.89908,                0.91619,                0.94279,                0.76157,                0.74962,                0.44137,                  1.014,              0.0013664,              0.0013664,              0.0013664
                     83,                 0.7238,                0.45943,                 1.0245,                0.88338,                0.92308,                0.95576,                0.77656,                0.72409,                0.43024,                0.99597,              0.0013585,              0.0013585,              0.0013585
                     84,                0.73108,                0.44576,                  1.035,                0.91384,                 0.9116,                0.96145,                0.77846,                0.72603,                0.40905,                0.99421,              0.0013506,              0.0013506,              0.0013506
                     85,                0.72728,                0.44895,                 1.0295,                0.90634,                0.92882,                0.95769,                0.77342,                0.73757,                0.42351,                 1.0061,              0.0013426,              0.0013426,              0.0013426
                     86,                0.70458,                0.43476,                 1.0137,                0.92363,                0.91274,                0.95545,                0.77294,                0.73675,                0.42432,                 1.0051,              0.0013347,              0.0013347,              0.0013347
                     87,                0.71644,                0.44207,                 1.0255,                0.92062,                0.91389,                 0.9561,                0.76917,                0.73414,                0.41823,                 1.0073,              0.0013268,              0.0013268,              0.0013268
                     88,                0.71404,                0.44263,                 1.0211,                0.91473,                0.92308,                0.95855,                0.77787,                0.71345,                0.39922,                0.98654,              0.0013189,              0.0013189,              0.0013189
                     89,                0.69263,                0.43465,                 1.0193,                0.92098,                0.92334,                 0.9608,                0.78086,                0.71978,                0.38987,                0.99152,               0.001311,               0.001311,               0.001311
                     90,                0.70244,                0.43173,                 1.0177,                0.90681,                0.92078,                0.95799,                0.77299,                0.73597,                0.41148,                0.99792,               0.001303,               0.001303,               0.001303
                     91,                0.69399,                0.42792,                 1.0253,                0.89733,                0.92767,                0.96117,                0.78003,                0.71932,                 0.4026,                 1.0006,              0.0012951,              0.0012951,              0.0012951
                     92,                0.70383,                0.43484,                 1.0181,                0.90169,                0.91614,                0.96176,                0.77864,                0.72583,                0.40427,                 0.9936,              0.0012872,              0.0012872,              0.0012872
                     93,                0.69618,                0.42637,                 1.0115,                0.89682,                0.93805,                0.96332,                0.78134,                0.71618,                0.41386,                0.99726,              0.0012793,              0.0012793,              0.0012793
                     94,                0.69279,                0.43284,                 1.0245,                0.91739,                0.91797,                0.96244,                 0.7836,                0.72693,                0.39334,                 1.0013,              0.0012714,              0.0012714,              0.0012714
                     95,                0.69075,                0.42755,                 1.0161,                0.89972,                0.92705,                0.95537,                0.77834,                0.71401,                0.41733,                 0.9864,              0.0012634,              0.0012634,              0.0012634
                     96,                0.68266,                0.42188,                 1.0172,                0.92921,                 0.9116,                0.96002,                0.78114,                0.71392,                0.39649,                0.99864,              0.0012555,              0.0012555,              0.0012555
                     97,                0.69054,                0.42822,                 1.0149,                0.92353,                0.91517,                0.96695,                0.78119,                0.71065,                0.40469,                 0.9933,              0.0012476,              0.0012476,              0.0012476
                     98,                0.68746,                0.41908,                 1.0137,                0.92047,                0.91685,                0.95916,                0.78538,                0.70479,                0.39407,                0.98561,              0.0012397,              0.0012397,              0.0012397
                     99,                0.68639,                0.42127,                 1.0196,                0.88366,                0.93308,                0.95922,                0.79067,                0.70921,                0.40512,                0.98627,              0.0012318,              0.0012318,              0.0012318
                    100,                0.68426,                0.42049,                 1.0146,                 0.9234,                0.92732,                0.96287,                0.78202,                0.70629,                0.40108,                0.98582,              0.0012238,              0.0012238,              0.0012238
                    101,                0.68594,                0.42282,                 1.0121,                0.92041,                0.92938,                0.96636,                0.78376,                0.71356,                0.38581,                0.98526,              0.0012159,              0.0012159,              0.0012159
                    102,                0.67854,                0.42169,                 1.0139,                0.91371,                0.92394,                0.96128,                0.78429,                0.70678,                0.39618,                0.98666,               0.001208,               0.001208,               0.001208
                    103,                0.69165,                0.42182,                  1.017,                0.91708,                0.91504,                0.96494,                0.79029,                0.69426,                 0.3987,                0.98022,              0.0012001,              0.0012001,              0.0012001
                    104,                 0.6665,                0.40964,                 1.0006,                 0.9058,                0.92997,                0.95686,                0.78719,                 0.6997,                0.39851,                 0.9792,              0.0011922,              0.0011922,              0.0011922
                    105,                0.68086,                0.40513,                 1.0034,                0.92326,                0.92537,                0.96475,                0.78882,                0.70678,                 0.3807,                0.98176,              0.0011842,              0.0011842,              0.0011842
                    106,                 0.6826,                0.41053,                  1.007,                0.90279,                0.93685,                0.96609,                0.78876,                0.69708,                0.38955,                0.98008,              0.0011763,              0.0011763,              0.0011763
                    107,                0.69364,                0.42404,                 1.0129,                0.91181,                0.93777,                0.96536,                0.78859,                0.70767,                 0.3827,                0.98456,              0.0011684,              0.0011684,              0.0011684
                    108,                0.66796,                0.40602,                 1.0068,                0.89471,                0.93654,                0.96027,                0.78383,                0.69861,                0.40222,                0.97689,              0.0011605,              0.0011605,              0.0011605
                    109,                0.67086,                0.40865,                 1.0016,                0.90029,                0.95374,                0.96712,                0.78741,                0.69849,                0.38553,                 0.9848,              0.0011526,              0.0011526,              0.0011526
                    110,                0.67321,                0.40416,                 1.0081,                0.91313,                0.92925,                0.96087,                0.77549,                0.70013,                0.39189,                0.97998,              0.0011446,              0.0011446,              0.0011446
                    111,                0.65645,                0.39529,                0.99343,                0.92345,                  0.907,                0.96603,                0.78729,                 0.7047,                0.38742,                 0.9859,              0.0011367,              0.0011367,              0.0011367
                    112,                0.66425,                 0.3998,                0.99877,                0.92652,                0.92078,                0.96249,                0.78565,                0.70296,                0.38359,                0.98079,              0.0011288,              0.0011288,              0.0011288
                    113,                0.64893,                  0.395,                0.98908,                0.92006,                0.93341,                0.96747,                0.78728,                0.69912,                0.37936,                0.97896,              0.0011209,              0.0011209,              0.0011209
                    114,                0.65377,                0.38849,                0.99107,                0.92475,                0.91709,                  0.959,                0.79328,                0.67994,                0.37939,                0.96648,               0.001113,               0.001113,               0.001113
                    115,                0.68426,                0.41257,                 1.0107,                0.90327,                0.93571,                0.96314,                0.78973,                0.69198,                0.38168,                 0.9743,               0.001105,               0.001105,               0.001105
                    116,                0.66478,                0.39871,                 1.0024,                0.92507,                0.93226,                0.96928,                0.79058,                0.70229,                0.37601,                0.99118,              0.0010971,              0.0010971,              0.0010971
                    117,                0.64968,                0.39966,                0.99947,                 0.9071,                0.94171,                0.96134,                0.78393,                0.68859,                0.37756,                0.97749,              0.0010892,              0.0010892,              0.0010892
                    118,                0.66097,                0.39526,                 0.9976,                0.91042,                0.93351,                0.96485,                0.79428,                0.69034,                0.37706,                0.97658,              0.0010813,              0.0010813,              0.0010813
                    119,                0.66147,                0.39547,                0.99322,                0.90059,                0.94647,                0.95898,                0.78767,                0.69352,                0.38299,                0.98366,              0.0010734,              0.0010734,              0.0010734
                    120,                 0.6443,                0.39008,                0.99782,                0.91531,                0.94302,                0.96635,                 0.7858,                0.69705,                 0.3832,                0.97779,              0.0010654,              0.0010654,              0.0010654
                    121,                0.65966,                0.39427,                      1,                0.91122,                0.93341,                0.96263,                0.79263,                0.68637,                0.37585,                0.97705,              0.0010575,              0.0010575,              0.0010575
                    122,                0.65021,                0.39632,                0.99108,                0.91958,                0.92537,                0.96318,                0.79758,                0.68752,                0.38166,                0.97486,              0.0010496,              0.0010496,              0.0010496
                    123,                0.65733,                0.39507,                0.99801,                0.92227,                0.92652,                0.96609,                0.79735,                0.68452,                0.38223,                0.96558,              0.0010417,              0.0010417,              0.0010417
                    124,                0.65175,                0.39557,                0.99698,                0.93095,                 0.9403,                0.96889,                0.79477,                 0.6868,                0.37007,                0.97299,              0.0010338,              0.0010338,              0.0010338
