% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708350278.5584 1449 1453 9 7
1708350278.5662 1456 1458 7 5
1708350278.5758 1461 1462 5 4
1708350278.5824 1468 1466 7 4
1708350278.5905 1478 1471 10 5
1708350278.5991 1486 1477 8 6
1708350278.6070 1492 1483 6 6
1708350278.6150 1499 1489 7 6
1708350278.6238 1508 1493 9 4
1708350278.6301 1516 1497 8 4
1708350278.6382 1522 1503 6 6
1708350278.6467 1527 1509 5 6
1708350278.6544 1533 1514 6 5
1708350278.6629 1543 1519 10 5
1708350278.6718 1553 1525 10 6
1708350278.6784 1559 1531 6 6
1708350278.6969 1565 1536 6 5
1708350278.7007 1571 1540 6 4
1708350278.7065 1578 1543 7 3
1708350278.7128 1585 1547 7 4
1708350278.7195 1590 1552 5 5
1708350278.7269 1594 1559 4 7
1708350278.7352 1600 1565 6 6
1708350278.7461 1609 1570 9 5
1708350278.7524 1619 1574 10 4
1708350278.7588 1627 1579 8 5
1708350278.7697 1631 1585 4 6
1708350278.7759 1632 1592 1 7
1708350278.7833 1635 1597 3 5
1708350278.7914 1643 1600 8 3
1708350278.7987 1653 1605 10 5
1708350278.8066 1661 1612 8 7
1708350278.8149 1664 1620 3 8
1708350278.8225 1668 1625 4 5
1708350278.8308 1676 1629 8 4
1708350278.8414 1686 1635 10 6
1708350278.8472 1693 1642 7 7
1708350278.8545 1698 1648 5 6
1708350278.8636 1703 1651 5 3
1708350278.8701 1711 1655 8 4
1708350278.8821 1720 1662 9 7
1708350278.8876 1726 1670 6 8
1708350278.8944 1732 1677 6 7
1708350278.9026 1740 1682 8 5
1708350278.9110 1747 1685 7 3
1708350278.9183 1754 1690 7 5
1708350278.9264 1761 1697 7 7
1708350278.9392 1769 1704 8 7
1708350278.9428 1776 1709 7 5
1708350278.9500 1783 1713 7 4
1708350278.9598 1786 1716 3 3
1708350278.9664 1790 1721 4 5
1708350278.9746 1798 1729 8 8
1708350278.9835 1808 1735 10 6
1708350278.9906 1815 1739 7 4
1708350278.9991 1821 1743 6 4
1708350279.0070 1825 1749 4 6
1708350279.0146 1831 1756 6 7
1708350279.0223 1840 1762 9 6
