% Edge sensor logfile normalized 'log_20240315_004104.987/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1710459666.8492 31 34 37 31 33 34 18 27  0.0000
1710459666.8565 42 44 37 45 33 39 32 40  0.0000
1710459666.8652 31 31 36 33 36 35 32 36  0.0000
1710459666.8725 35 38 39 40 33 37 23 33  0.0000
1710459666.8812 40 42 41 33 26 39 34 45  0.0000
1710459666.8900 44 42 41 48 36 37 32 42  0.0000
1710459666.8964 37 42 47 38 33 45 42 38  0.0000
1710459666.9048 37 31 39 27 27 27 40 47  0.0000
1710459666.9137 31 40 37 34 26 37 25 29  0.0000
1710459666.9210 42 36 45 38 34 39 40 38  0.0000
1710459666.9287 37 44 50 41 36 34 45 38  0.0000
1710459666.9374 40 44 45 36 29 35 29 27  0.0000
1710459666.9449 60 51 52 54 50 39 40 51  0.0000
1710459666.9533 42 42 39 38 41 32 40 33  0.0000
1710459666.9620 51 40 43 47 36 27 31 45  0.0000
1710459666.9693 46 40 52 43 41 40 43 56  0.0000
1710459666.9769 29 25 32 33 36 30 32 27  0.0000
1710459666.9856 35 34 28 20 27 25 14 11  0.0000
1710459666.9931 46 36 41 45 40 25 40 38  0.0000
1710459667.0007 46 45 37 54 38 40 40 45  0.0000
1710459667.0100 49 42 39 52 38 49 56 42  0.0000
1710459667.0164 44 45 54 45 43 45 60 60  0.0000
1710459667.0251 35 34 37 26 31 32 31 29  0.0000
1710459667.0339 51 38 43 34 36 64 42 58  0.0000
1710459667.0414 33 38 36 40 41 42 45 63  0.0000
1710459667.0490 42 29 32 24 22 27 38 40  0.0000
1710459667.0572 35 34 36 29 24 34 40 40  0.0000
1710459667.0647 33 44 41 26 29 39 38 42  0.0000
1710459667.0734 31 38 39 31 29 30 40 38  0.0000
1710459667.0811 58 51 54 43 46 40 47 47  0.0000
1710459667.0894 37 31 34 36 34 35 42 38  0.0000
1710459667.0979 42 38 30 36 33 30 32 40  0.0000
1710459667.1052 46 36 30 33 31 40 38 27  0.0000
1710459667.1127 55 55 34 36 43 44 38 38  0.0000
1710459667.1214 35 38 37 34 33 28 20 33  0.0000
1710459667.1301 29 25 37 31 26 35 38 29  0.0000
1710459667.1365 42 40 32 29 27 30 31 27  0.0000
1710459667.1449 44 42 34 33 27 39 31 33  0.0000
1710459667.1533 46 47 47 57 46 47 45 56  0.0000
1710459667.1608 40 31 28 22 29 37 36 40  0.0000
1710459667.1685 31 33 23 27 31 28 29 24  0.0000
1710459667.1772 42 33 41 24 26 35 31 40  0.0000
1710459667.1847 11 33 28 33 26 30 36 40  0.0000
1710459667.1932 42 36 30 12 20 18 16 20  0.0000
1710459667.2019 40 38 39 31 29 35 40 38  0.0000
1710459667.2091 35 40 37 33 27 32 36 40  0.0000
1710459667.2168 58 51 47 38 34 22 36 36  0.0000
1710459667.2255 46 60 45 43 52 57 49 49  0.0000
1710459667.2328 40 36 39 34 29 35 42 33  0.0000
1710459667.2405 42 40 37 33 31 39 29 27  0.0000
1710459667.2492 44 36 39 34 33 32 31 45  0.0000
1710459667.2574 42 34 25 27 26 23 31 20  0.0000
1710459667.2651 49 45 41 41 41 45 38 45  0.0000
1710459667.2738 44 45 41 40 36 34 32 22  0.0000
1710459667.2811 37 33 30 29 27 32 34 36  0.0000
1710459667.2888 60 56 50 38 43 40 40 45  0.0000
1710459667.2975 51 45 59 41 45 47 47 60  0.0000
1710459667.3047 58 44 47 36 33 35 34 42  0.0000
1710459667.3124 35 29 39 34 33 23 25 31  0.0000
1710459667.3212 49 49 39 40 31 40 29 38  0.0000
1710459667.3285 40 34 36 31 29 22 25 4  0.0000
1710459667.3372 49 45 43 36 29 37 40 38  0.0000
1710459667.3459 33 47 36 45 31 35 27 27  0.0000
1710459667.3530 33 33 32 36 29 35 27 11  0.0000
1710459667.3607 40 40 39 33 34 39 27 24  0.0000
1710459667.3691 40 44 41 43 36 35 40 33  0.0000
1710459667.3766 46 49 34 29 40 35 29 24  0.0000
1710459667.3853 44 40 36 26 27 35 31 24  0.0000
1710459667.3941 20 22 30 15 17 27 25 22  0.0000
1710459667.4005 37 40 37 36 31 23 29 29  0.0000
1710459667.4089 51 38 34 34 34 34 23 31  0.0000
1710459667.4174 44 40 43 29 27 30 31 27  0.0000
1710459667.4249 37 47 34 31 26 20 25 24  0.0000
1710459667.4325 51 42 43 41 41 49 36 40  0.0000
1710459667.4413 40 44 37 34 31 27 31 18  0.0000
1710459667.4488 44 34 34 29 29 32 23 29  0.0000
1710459667.4580 42 25 32 22 24 35 27 42  0.0000
1710459667.4656 20 27 23 29 22 6 10 13  0.0000
1710459667.4731 40 31 25 29 29 34 29 15  0.0000
1710459667.4807 51 44 43 34 36 34 36 38  0.0000
1710459667.4895 40 36 28 20 22 23 29 33  0.0000
1710459667.4970 49 53 36 41 27 27 29 24  0.0000
1710459667.5052 35 38 36 34 31 35 32 33  0.0000
1710459667.5140 46 40 36 33 27 27 25 31  0.0000
1710459667.5205 33 40 39 40 36 35 31 56  0.0000
1710459667.5293 15 34 36 29 24 23 27 36  0.0000
1710459667.5380 33 23 30 20 20 11 7 13  0.0000
1710459667.5445 29 36 41 38 27 34 25 22  0.0000
1710459667.5527 42 45 45 34 36 32 34 45  0.0000
1710459667.5616 40 33 32 40 31 27 31 31  0.0000
1710459667.5691 37 42 43 50 43 40 47 51  0.0000
1710459667.5768 35 33 36 38 41 34 38 36  0.0000
1710459667.5855 49 36 41 34 38 34 25 33  0.0000
1710459667.5925 42 40 43 45 38 42 45 36  0.0000
1710459667.6013 31 33 37 29 29 34 38 22  0.0000
1710459667.6097 24 25 30 27 38 25 32 27  0.0000
1710459667.6172 33 40 41 34 33 34 23 36  0.0000
1710459667.6249 53 36 41 43 38 20 29 27  0.0000
1710459667.6337 51 40 43 40 40 32 29 15  0.0000
1710459667.6409 53 42 41 47 34 40 31 45  0.0000
1710459667.6486 42 36 34 29 24 27 21 24  0.0000
1710459667.6570 44 33 34 19 34 40 25 29  0.0000
1710459667.6645 42 45 39 38 33 44 38 29  0.0000
1710459667.6734 26 25 23 19 19 18 21 18  0.0000
1710459667.6810 40 40 28 20 26 15 16 22  0.0000
1710459667.6894 46 42 36 40 26 34 23 33  0.0000
1710459667.6970 49 44 43 38 31 34 27 33  0.0000
1710459667.7054 64 51 43 41 34 34 36 40  0.0000
1710459667.7129 42 34 41 34 38 44 40 38  0.0000
1710459667.7206 37 34 27 17 13 18 21 20  0.0000
1710459667.7292 42 42 43 33 29 28 31 31  0.0000
1710459667.7367 31 34 30 31 29 25 25 33  0.0000
1710459667.7447 51 40 21 19 22 18 18 15  0.0000
1710459667.7533 42 36 30 27 24 28 29 15  0.0000
1710459667.7612 33 40 41 29 29 34 38 36  0.0000
1710459667.7688 37 44 48 33 36 32 18 15  0.0000
1710459667.7774 51 49 54 45 45 42 51 42  0.0000
1710459667.7852 37 42 37 29 29 35 27 40  0.0000
1710459667.7929 29 33 25 33 33 30 27 24  0.0000
1710459667.8017 40 40 30 20 33 35 43 29  0.0000
1710459667.8089 42 38 37 38 34 30 23 36  0.0000
1710459667.8176 49 38 36 36 27 27 31 20  0.0000
1710459667.8252 31 34 25 34 31 34 25 38  0.0000
1710459667.8328 49 42 28 36 29 37 25 18  0.0000
1710459667.8406 53 45 36 33 29 27 18 27  0.0000
1710459667.8493 46 44 41 40 33 37 34 36  0.0000
1710459667.8566 37 40 32 34 29 35 31 33  0.0000
1710459667.8652 35 25 27 29 27 30 29 29  0.0000
1710459667.8739 35 38 37 38 33 40 31 24  0.0000
1710459667.8814 31 34 30 24 22 17 23 27  0.0000
1710459667.8892 35 31 34 36 33 34 34 38  0.0000
1710459667.8979 40 38 34 31 34 34 38 42  0.0000
1710459667.9051 35 33 28 40 33 34 29 40  0.0000
1710459667.9126 40 42 37 43 43 32 31 47  0.0000
1710459667.9213 60 40 41 48 46 47 43 54  0.0000
1710459667.9288 31 33 28 38 31 28 32 38  0.0000
1710459667.9365 31 33 32 31 31 47 29 38  0.0000
1710459667.9452 29 27 30 34 31 39 42 38  0.0000
1710459667.9533 35 27 34 27 33 22 21 22  0.0000
1710459667.9609 24 33 43 38 34 34 38 33  0.0000
1710459667.9697 42 34 43 31 31 32 40 36  0.0000
1710459667.9773 31 33 34 33 33 25 25 36  0.0000
1710459667.9850 44 55 50 47 46 49 47 45  0.0000
1710459667.9939 42 42 52 40 36 39 36 58  0.0000
1710459668.0012 33 33 45 40 36 34 29 40  0.0000
1710459668.0086 29 31 39 33 29 37 31 22  0.0000
1710459668.0174 20 29 32 20 27 18 21 27  0.0000
1710459668.0250 33 34 39 40 36 34 34 27  0.0000
1710459668.0328 42 38 48 40 45 40 45 45  0.0000
1710459668.0416 35 38 43 41 41 42 36 36  0.0000
1710459668.0492 22 27 34 40 33 39 40 33  0.0000
1710459668.0567 40 33 45 47 46 52 45 47  0.0000
1710459668.0657 33 34 47 45 43 47 40 38  0.0000
1710459668.0733 42 42 48 43 46 49 51 42  0.0000
1710459668.0810 35 34 45 34 43 42 40 49  0.0000
1710459668.0893 29 27 32 27 38 18 36 42  0.0000
1710459668.0969 26 33 45 40 40 39 42 47  0.0000
1710459668.1053 33 38 41 34 40 47 45 42  0.0000
1710459668.1140 40 31 45 40 34 42 40 40  0.0000
1710459668.1215 44 40 43 50 43 39 45 40  0.0000
1710459668.1291 40 40 41 40 50 44 38 40  0.0000
1710459668.1375 40 34 43 43 43 35 38 36  0.0000
1710459668.1450 51 49 45 36 43 42 36 49  0.0000
1710459668.1534 33 33 28 40 31 27 40 45  0.0000
1710459668.1621 26 22 19 19 19 22 16 13  0.0000
1710459668.1685 40 34 34 29 34 42 43 54  0.0000
1710459668.1781 44 42 43 41 40 45 40 47  0.0000
1710459668.1857 44 42 37 40 29 40 45 31  0.0000
1710459668.1931 40 38 43 41 43 42 51 42  0.0000
1710459668.2008 44 44 39 34 33 22 40 31  0.0000
1710459668.2091 42 36 43 36 27 32 38 33  0.0000
1710459668.2166 37 31 47 45 41 44 38 56  0.0000
1710459668.2251 26 31 30 15 19 28 31 22  0.0000
1710459668.2338 31 38 34 22 20 20 16 22  0.0000
1710459668.2413 33 31 41 36 31 32 36 45  0.0000
1710459668.2489 49 38 50 38 50 47 38 38  0.0000
1710459668.2572 42 40 41 38 43 40 36 56  0.0000
1710459668.2647 42 42 39 45 41 35 49 60  0.0000
1710459668.2732 40 33 36 41 29 35 32 36  0.0000
1710459668.2818 35 45 41 33 40 39 36 45  0.0000
1710459668.2893 49 34 45 48 38 40 45 40  0.0000
1710459668.2969 33 33 39 34 27 44 31 36  0.0000
1710459668.3053 31 25 28 27 29 34 32 29  0.0000
1710459668.3125 35 38 32 36 27 35 32 33  0.0000
1710459668.3212 33 44 48 40 38 37 27 38  0.0000
1710459668.3298 42 51 50 34 43 37 31 24  0.0000
1710459668.3373 31 34 37 34 31 37 34 38  0.0000
1710459668.3449 31 33 27 24 34 37 18 36  0.0000
1710459668.3532 35 38 39 36 36 42 36 36  0.0000
1710459668.3605 37 51 45 52 41 44 42 56  0.0000
1710459668.3692 35 27 27 31 27 23 14 29  0.0000
1710459668.3778 29 34 27 31 38 30 23 31  0.0000
1710459668.3853 40 38 30 33 27 37 29 24  0.0000
1710459668.3930 35 38 30 40 33 44 27 47  0.0000
1710459668.4016 53 42 45 47 48 44 45 45  0.0000
1710459668.4086 35 36 43 43 29 42 34 40  0.0000
1710459668.4173 26 25 32 29 24 23 34 27  0.0000
1710459668.4259 37 33 36 33 29 42 32 49  0.0000
1710459668.4334 33 16 23 17 22 39 23 31  0.0000
1710459668.4410 33 34 30 26 22 23 23 27  0.0000
1710459668.4495 37 31 30 20 27 34 36 40  0.0000
1710459668.4567 37 33 30 27 26 30 29 33  0.0000
1710459668.4654 49 40 47 45 34 27 29 33  0.0000
1710459668.4741 49 47 41 40 43 40 42 56  0.0000
1710459668.4805 37 38 41 24 27 37 29 36  0.0000
1710459668.4892 31 29 32 19 26 23 23 29  0.0000
1710459668.4976 35 40 30 36 38 23 29 38  0.0000
1710459668.5047 31 31 34 47 31 23 21 18  0.0000
1710459668.5134 37 34 37 31 31 35 27 27  0.0000
1710459668.5221 40 29 34 26 26 27 21 33  0.0000
1710459668.5285 40 33 30 29 20 20 25 27  0.0000
1710459668.5380 44 45 39 33 33 30 36 24  0.0000
1710459668.5456 44 40 45 36 29 35 36 36  0.0000
1710459668.5527 37 40 37 13 27 27 27 31  0.0000
1710459668.5615 35 40 39 29 27 25 27 33  0.0000
1710459668.5691 20 27 30 31 22 25 27 27  0.0000
1710459668.5766 46 40 41 34 40 28 23 31  0.0000
1710459668.5850 40 45 39 45 46 40 36 51  0.0000
1710459668.5934 51 42 34 36 31 28 32 45  0.0000
1710459668.6009 46 42 43 36 33 34 34 36  0.0000
1710459668.6092 42 47 37 40 41 49 34 36  0.0000
1710459668.6179 46 47 36 52 41 27 38 38  0.0000
1710459668.6253 35 40 37 38 34 32 34 42  0.0000
1710459668.6329 31 36 32 36 33 32 38 33  0.0000
1710459668.6417 29 23 18 24 19 35 23 36  0.0000
1710459668.6492 46 38 41 29 26 32 25 13  0.0000
1710459668.6565 35 40 48 41 40 42 42 45  0.0000
1710459668.6652 26 36 43 33 29 35 43 31  0.0000
1710459668.6725 40 44 39 38 34 25 29 33  0.0000
1710459668.6812 44 38 43 38 36 39 49 40  0.0000
1710459668.6899 46 42 45 38 41 39 36 29  0.0000
1710459668.6964 31 44 39 43 31 35 36 42  0.0000
1710459668.7048 29 27 34 36 24 30 31 40  0.0000
1710459668.7136 26 20 23 17 19 11 7 13  0.0000
1710459668.7209 37 31 34 31 38 32 27 33  0.0000
1710459668.7286 49 44 37 29 38 39 34 49  0.0000
1710459668.7374 44 38 41 36 31 37 25 31  0.0000
1710459668.7449 46 33 30 33 34 35 38 24  0.0000
1710459668.7533 44 42 36 40 34 30 34 45  0.0000
1710459668.7620 44 34 43 33 33 25 40 42  0.0000
1710459668.7693 40 38 41 24 27 37 32 40  0.0000
1710459668.7769 46 40 39 26 36 37 31 33  0.0000
1710459668.7857 33 33 30 24 26 22 21 31  0.0000
1710459668.7932 55 38 36 27 26 28 34 31  0.0000
1710459668.8009 44 51 45 34 29 27 43 36  0.0000
1710459668.8091 62 44 41 24 29 25 34 38  0.0000
1710459668.8166 58 44 39 33 26 32 38 38  0.0000
1710459668.8254 37 36 30 26 31 37 34 22  0.0000
1710459668.8330 49 44 45 31 34 37 34 42  0.0000
1710459668.8406 46 55 48 48 41 37 45 38  0.0000
1710459668.8494 22 23 27 31 33 20 34 40  0.0000
1710459668.8577 35 34 23 19 20 22 21 13  0.0000
1710459668.8652 37 38 37 34 27 39 40 45  0.0000
1710459668.8729 55 51 39 38 36 52 45 54  0.0000
1710459668.8816 69 53 50 40 34 51 42 54  0.0000
1710459668.8891 44 47 36 57 40 42 43 58  0.0000
1710459668.8977 37 38 41 31 33 37 42 47  0.0000
1710459668.9051 40 36 43 33 27 32 45 42  0.0000
1710459668.9127 31 36 43 31 40 57 58 60  0.0000
1710459668.9214 33 27 25 34 29 32 31 42  0.0000
1710459668.9300 37 36 36 31 36 37 43 47  0.0000
1710459668.9365 40 42 36 36 36 44 45 49  0.0000
1710459668.9450 49 49 50 43 38 47 51 42  0.0000
1710459668.9533 55 49 50 50 46 52 47 60  0.0000
1710459668.9609 40 47 37 27 50 39 47 47  0.0000
1710459668.9685 42 36 34 40 43 35 27 31  0.0000
1710459668.9772 53 38 41 38 36 45 29 33  0.0000
1710459668.9848 42 40 39 50 52 49 42 36  0.0000
1710459668.9933 33 34 34 27 38 40 18 18  0.0000
1710459669.0020 33 27 34 33 26 40 18 20  0.0000
1710459669.0092 35 44 37 43 50 44 32 38  0.0000
1710459669.0169 49 49 43 47 43 45 38 45  0.0000
1710459669.0256 42 42 34 31 41 54 42 60  0.0000
1710459669.0329 35 42 39 29 34 40 36 51  0.0000
1710459669.0406 35 27 27 34 27 27 23 24  0.0000
1710459669.0494 40 44 41 38 34 34 42 45  0.0000
1710459669.0568 26 33 30 26 36 35 29 38  0.0000
1710459669.0647 33 29 34 43 38 28 40 42  0.0000
1710459669.0739 26 31 28 29 27 39 34 27  0.0000
1710459669.0814 26 38 36 31 27 27 27 36  0.0000
1710459669.0891 60 55 39 41 34 35 38 36  0.0000
