% Edge logfile: log_20240308_171742.426/log_edge_ctrl.txt
% 1 	Time (sec)
% 2 	heading mode (edge control == 2)
% 3 	Edge 1=left, 0=right
% 4 	Edge offset (signed in m; should be less than about 0.01)
% 5 	Measured edge value (m; positive is left)
% 6 	control value (rad/sec; positive is CCV)
% 7 	limited
1709914664.5964 2 0 0.0000 0.0000 0.0000 0
1709914664.6045 2 0 0.0000 0.0000 0.0000 0
1709914664.6120 2 0 0.0000 0.0000 0.0000 0
1709914664.6209 2 0 0.0000 0.0000 0.0000 0
1709914664.6279 2 0 0.0000 0.0000 0.0000 0
1709914664.6359 2 0 0.0000 0.0000 0.0000 0
1709914664.6439 2 0 0.0000 0.0000 0.0000 0
1709914664.6519 2 0 0.0000 0.0000 0.0000 0
1709914664.6605 2 0 0.0000 0.0000 0.0000 0
1709914664.6683 2 0 0.0000 0.0000 0.0000 0
1709914664.6762 2 0 0.0000 0.0000 0.0000 0
1709914664.6845 2 0 0.0000 0.0000 0.0000 0
1709914664.6922 2 0 0.0000 0.0000 0.0000 0
1709914664.7011 2 0 0.0000 0.0000 0.0000 0
1709914664.7088 2 0 0.0000 0.0000 0.0000 0
1709914664.7169 2 0 0.0000 0.0000 0.0000 0
1709914664.7249 2 0 0.0000 0.0000 0.0000 0
1709914664.7322 2 0 0.0000 0.0000 0.0000 0
1709914664.7401 2 0 0.0000 0.0000 0.0000 0
1709914664.7480 2 0 0.0000 0.0000 0.0000 0
1709914664.7566 2 0 0.0000 0.0000 0.0000 0
1709914664.7644 2 0 0.0000 0.0000 0.0000 0
1709914664.7723 2 0 0.0000 0.0000 0.0000 0
1709914664.7809 2 0 0.0000 0.0000 0.0000 0
1709914664.7885 2 0 0.0000 0.0000 0.0000 0
1709914664.7961 2 0 0.0000 0.0000 0.0000 0
1709914664.8042 2 0 0.0000 0.0000 0.0000 0
1709914664.8120 2 0 0.0000 0.0000 0.0000 0
1709914664.8201 2 0 0.0000 0.0000 0.0000 0
1709914664.8280 2 0 0.0000 0.0000 0.0000 0
1709914664.8367 2 0 0.0000 0.0000 0.0000 0
1709914664.8440 2 0 0.0000 0.0000 0.0000 0
1709914664.8527 2 0 0.0000 0.0000 0.0000 0
1709914664.8609 2 0 0.0000 0.0000 0.0000 0
1709914664.8679 2 0 0.0000 0.0000 0.0000 0
1709914664.8767 2 0 0.0000 0.0000 0.0000 0
