% Edge sensor logfile log_20240308_171715.252/log_edge.txt
% 	Calib white 466 563 571 595 596 609 566 464
% 	Calib black 18 18 18 21 21 21 20 21
% 	White threshold (of 1000) 500 
% 1 	Time (sec)
% 2 	Edge valid
% 3 	Left edge position(m)
% 4 	Right edge position (m)
% 5 	Line width (m)
1709914639.6270 0 0.000 0.000 0.0000
1709914639.6352 0 0.000 0.000 0.0000
1709914639.6430 0 0.000 0.000 0.0000
1709914639.6514 0 0.000 0.000 0.0000
1709914639.6598 0 0.000 0.000 0.0000
1709914639.6669 0 0.000 0.000 0.0000
1709914639.6752 0 0.000 0.000 0.0000
1709914639.6836 1 0.200 0.200 0.0005
1709914639.6914 1 0.200 0.173 0.0274
1709914639.6996 1 0.200 0.149 0.0508
1709914639.7068 1 0.200 0.132 0.0678
1709914639.7162 1 0.200 0.120 0.0800
1709914639.7234 1 0.200 0.112 0.0881
1709914639.7317 1 0.200 0.104 0.0960
1709914639.7395 1 0.200 0.097 0.1028
1709914639.7477 1 0.200 0.088 0.1124
1709914639.7558 1 0.200 0.079 0.1210
1709914639.7636 1 0.200 0.067 0.1325
1709914639.7715 1 0.200 0.057 0.1429
1709914639.7789 1 0.200 0.038 0.1620
1709914639.7870 1 0.200 0.013 0.1874
1709914639.7953 1 0.200 -0.006 0.2063
1709914639.8041 1 0.200 -0.031 0.2311
1709914639.8108 1 0.200 -0.056 0.2556
1709914639.8188 1 0.185 -0.086 0.2703
1709914639.8273 1 0.165 -0.121 0.2862
1709914639.8354 1 0.140 -0.159 0.2989
1709914639.8437 1 0.124 -0.193 0.3167
1709914639.8509 1 0.118 -0.200 0.3177
1709914639.8599 1 0.107 -0.200 0.3070
1709914639.8669 1 0.095 -0.200 0.2949
1709914639.8754 1 0.073 -0.200 0.2735
1709914639.8836 1 0.041 -0.200 0.2410
1709914639.8911 1 0.008 -0.200 0.2082
1709914639.8996 1 -0.022 -0.200 0.1781
1709914639.9078 1 -0.056 -0.200 0.1443
1709914639.9161 1 -0.089 -0.200 0.1112
1709914639.9236 1 -0.113 -0.200 0.0867
1709914639.9318 1 -0.139 -0.200 0.0612
1709914639.9392 1 -0.162 -0.200 0.0383
1709914639.9476 1 -0.169 -0.200 0.0311
1709914639.9554 0 0.000 0.000 0.0000
1709914639.9637 0 0.000 0.000 0.0000
1709914639.9709 0 0.000 0.000 0.0000
1709914639.9801 0 0.000 0.000 0.0000
1709914639.9874 0 0.000 0.000 0.0000
1709914639.9948 0 0.000 0.000 0.0000
1709914640.0038 0 0.000 0.000 0.0000
1709914640.0112 0 0.000 0.000 0.0000
1709914640.0193 0 0.000 0.000 0.0000
1709914640.0273 0 0.000 0.000 0.0000
1709914640.0356 0 0.000 0.000 0.0000
1709914640.0430 0 0.000 0.000 0.0000
1709914640.0510 0 0.000 0.000 0.0000
1709914640.0594 0 0.000 0.000 0.0000
1709914640.0675 0 0.000 0.000 0.0000
1709914640.0755 0 0.000 0.000 0.0000
1709914640.0839 0 0.000 0.000 0.0000
1709914640.0913 0 0.000 0.000 0.0000
1709914640.0995 0 0.000 0.000 0.0000
1709914640.1069 0 0.000 0.000 0.0000
