% Edge sensor logfile normalized 'log_20240224_141234.319/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708780357.2492 31 49 443 839 758 357 40 45  0.0256
1708780357.2592 62 77 517 918 831 389 60 63  0.0315
1708780357.2657 22 34 452 808 695 309 29 31  0.0216
1708780357.2745 44 58 491 883 756 346 42 22  0.0275
1708780357.2823 49 73 535 944 798 346 54 65  0.0311
1708780357.2889 2 38 453 822 664 284 27 13  0.0189
1708780357.2975 26 69 518 858 686 278 25 40  0.0237
1708780357.3065 44 97 578 937 735 301 47 56  0.0298
1708780357.3130 20 78 517 796 620 253 38 40  0.0152
1708780357.3209 42 117 573 885 655 253 40 15  0.0240
1708780357.3309 33 130 643 965 707 261 45 56  0.0315
1708780357.3375 42 115 613 912 652 241 51 51  0.0261
1708780357.3450 22 121 585 857 587 210 49 40  0.0199
1708780357.3550 42 143 645 933 612 215 45 40  0.0263
1708780357.3616 55 161 696 994 650 215 53 72  0.0316
1708780357.3693 0 133 578 803 497 141 12 0  0.0136
1708780357.3789 31 188 656 869 537 158 36 27  0.0223
1708780357.3855 42 205 712 935 570 181 49 40  0.0286
1708780357.3940 22 194 625 811 466 122 38 40  0.0157
1708780357.4028 55 231 717 871 504 113 32 40  0.0257
1708780357.4093 66 258 781 958 546 136 51 69  0.0305
1708780357.4171 22 227 685 829 434 91 27 29  0.0210
1708780357.4271 37 284 772 876 459 81 49 38  0.0269
1708780357.4336 40 302 840 928 478 95 42 63  0.0303
1708780357.4419 2 256 701 759 363 39 20 0  0.0197
1708780357.4504 26 311 790 837 408 56 27 24  0.0258
1708780357.4578 53 372 871 883 443 57 36 65  0.0301
1708780357.4657 24 326 752 745 342 39 10 29  0.0211
1708780357.4746 40 368 833 811 380 56 29 33  0.0265
1708780357.4815 66 411 918 891 412 56 42 88  0.0313
1708780357.4895 17 366 792 742 333 35 34 45  0.0226
1708780357.4990 58 420 862 797 370 62 40 36  0.0273
1708780357.5055 91 453 931 837 382 40 49 65  0.0306
1708780357.5134 29 381 790 672 286 18 18 2  0.0168
1708780357.5227 84 445 889 738 320 42 40 42  0.0260
1708780357.5294 116 486 949 808 354 56 45 76  0.0304
1708780357.5372 58 412 820 668 271 39 21 22  0.0186
1708780357.5468 100 477 904 716 293 32 29 29  0.0260
1708780357.5533 104 521 989 773 293 35 32 36  0.0303
1708780357.5612 104 500 924 712 288 44 31 49  0.0267
1708780357.5711 93 455 840 639 240 32 29 24  0.0182
1708780357.5777 116 506 900 672 252 40 36 65  0.0237
1708780357.5856 138 550 972 722 264 32 42 60  0.0290
1708780357.5953 104 467 830 608 210 28 12 22  0.0162
1708780357.6018 140 533 907 662 241 25 25 36  0.0240
1708780357.6096 151 579 1000 754 280 61 43 60  0.0313
1708780357.6186 118 493 848 616 217 49 43 31  0.0181
1708780357.6251 149 543 940 688 250 54 43 22  0.0267
1708780357.6338 145 566 1000 756 281 47 42 69  0.0310
1708780357.6427 91 466 871 663 243 39 34 15  0.0213
1708780357.6500 93 453 904 738 292 54 43 56  0.0264
1708780357.6578 73 458 938 818 346 39 40 51  0.0299
1708780357.6673 11 337 770 716 309 27 16 4  0.0206
1708780357.6739 53 363 820 808 382 54 34 31  0.0260
1708780357.6817 64 381 875 918 469 79 47 67  0.0315
1708780357.6906 31 273 705 792 422 74 27 24  0.0216
1708780357.6980 37 267 732 879 502 117 31 45  0.0265
1708780357.7059 46 253 764 979 584 153 29 60  0.0314
1708780357.7156 11 155 607 844 554 153 18 18  0.0189
1708780357.7213 33 155 623 919 645 234 38 54  0.0264
1708780357.7301 40 133 620 959 730 273 40 76  0.0314
1708780357.7390 13 66 486 827 662 275 16 0  0.0196
1708780357.7452 40 69 488 876 770 372 40 49  0.0279
1708780357.7541 55 69 488 904 873 437 65 74  0.0324
1708780357.7630 49 51 397 804 855 445 73 45  0.0280
1708780357.7694 13 25 305 696 827 460 95 47  0.0226
1708780357.7773 37 33 287 688 895 530 119 18  0.0253
1708780357.7863 44 51 267 684 968 634 192 58  0.0299
1708780357.7936 17 36 171 531 850 619 230 0  0.0192
1708780357.8015 13 33 122 494 886 731 300 47  0.0265
1708780357.8105 33 36 110 489 909 862 424 90  0.0320
1708780357.8178 13 22 63 358 758 812 448 74  0.0249
1708780357.8257 31 34 47 341 749 918 565 200  0.0298
1708780357.8347 33 45 52 278 737 1000 716 322  0.0364
1708780357.8413 11 31 30 189 561 884 697 313  0.0266
1708780357.8498 26 14 25 135 514 903 807 435  0.0310
1708780357.8587 46 34 43 116 481 920 963 645  0.0399
1708780357.8651 31 47 39 71 325 719 864 566  0.0274
1708780357.8741 26 34 47 60 292 702 946 724  0.0344
1708780357.8827 40 34 36 41 257 681 1000 869  0.0333
1708780357.8904 6 23 25 15 144 498 838 742  0.0241
1708780357.8978 26 27 30 33 113 482 868 869  0.0246
1708780357.9065 49 47 47 57 100 486 930 1000  0.0260
1708780357.9144 17 20 34 22 43 333 714 864  0.0178
